feature,importance
lag_12,0.83267391154519
rolling_mean_3,0.11032682144453178
lag_1,0.045210533428841834
mgptonscollected,0.004236254209074666
month_sin,0.0027439593164679593
papertonscollected,0.0020411351847402924
month_cos,0.0019205359488684403
borough_Brooklyn,0.0002775368718902195
borough_Queens,0.0002394155793117257
borough_Staten Island,0.00019794788021032552
borough_Manhattan,0.0001319485908727203
