mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.8025860786437988,0.5085582352925259,0.11984499295552571,0.014433722763082895,10,sqrt,2,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",-239.8006018733062,-203.74827669993383,-276.47617132672326,-240.00834996665444,29.69140205136906,64
3.296072483062744,0.9347176369114725,0.22847986221313477,0.044147421995672,10,sqrt,2,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",-239.9749488318745,-204.19569836100555,-274.2786244100681,-239.48309053431606,28.613348567154816,58
8.439070224761963,2.6732237956453244,0.45598697662353516,0.022025071816676678,10,sqrt,2,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 500}",-235.91433052046597,-203.89732403727055,-274.7113593684307,-238.17433797538908,28.95384401932301,51
1.8175912698109944,0.5810753005609588,0.1543897787729899,0.04145633804405115,10,sqrt,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",-242.26663162253917,-205.51853434469567,-278.0384185029211,-241.94119482338533,29.60701303647828,76
3.305063009262085,0.9893499712433382,0.18409204483032227,0.024133848713633842,10,sqrt,5,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",-238.36566387026792,-205.52931384769042,-280.88800837050655,-241.59432869615497,30.849650645933522,74
8.33055011431376,2.5594681245308437,0.4650312264760335,0.026210698185757123,10,sqrt,5,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 500}",-236.2176678560186,-204.51374406829234,-278.54538821274446,-239.75893337901846,30.326847344786636,60
1.7246772448221843,0.594421936519881,0.12459746996561687,0.013570298990070227,10,sqrt,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",-246.22144504869178,-202.64869500512748,-280.48441744208,-243.11818583196637,31.85197623534235,80
3.3116300900777182,0.9992739513750278,0.21150954564412436,0.04005063039199377,10,sqrt,10,200,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",-238.55627256253558,-202.637431122734,-281.72594178044625,-240.9732151552386,32.33294850083098,70
8.044605811436972,2.4361147729686863,0.4712975025177002,0.016695141221002296,10,sqrt,10,500,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 500}",-237.83141151082344,-202.89277671447158,-280.07962412253846,-240.26793744927784,31.55846264934992,67
1.8255577087402344,0.598779898190589,0.1712209383646647,0.0327361540106085,10,0.3,2,100,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 2, 'n_estimators': 100}",-239.80060187330614,-203.74827669993383,-276.47617132672326,-240.00834996665444,29.69140205136906,64
3.4812604586283364,1.0032721454019713,0.2437734603881836,0.034534780279015735,10,0.3,2,200,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 2, 'n_estimators': 200}",-239.9749488318745,-204.19569836100555,-274.2786244100681,-239.48309053431606,28.613348567154816,58
8.115968465805054,2.5793258809908153,0.4317513306935628,0.02789080496033742,10,0.3,2,500,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 2, 'n_estimators': 500}",-235.91433052046594,-203.89732403727055,-274.7113593684307,-238.17433797538902,28.95384401932301,50
1.8129661083221436,0.6032548618962841,0.1289067268371582,0.024480129078054812,10,0.3,5,100,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 5, 'n_estimators': 100}",-242.26663162253917,-205.5185343446957,-278.03841850292105,-241.94119482338533,29.607013036478243,76
3.3604495525360107,0.9449236717966514,0.2861928939819336,0.018895936154522494,10,0.3,5,200,"{'max_depth': 10, 'max_features': 0.3, 'min_samples_split': 5, 'n_estimators': 200}",-238.36566387026798,-205.5293138476904,-280.88800837050655,-241.59432869615497,30.849650645933533,74
